ndc11,state,year,quarter,units_reimbursed,num_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,amount_per_unit,amount_per_rx,prev_units,units_yoy_growth
206885508,GA,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,KY,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,KY,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,LA,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885508,LA,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,LA,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,NC,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,NC,2023,4,0.0,0.0,0.0,0.0,0.0,,,,
206885508,ND,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,NH,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,NH,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,NH,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885508,NY,2024,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,TX,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,TX,2024,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,VA,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,VA,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,VA,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885508,VA,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206885508,VA,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885508,VA,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885508,VA,2024,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885508,VA,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885508,XX,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,XX,2022,2,14.25,12.0,49203.68,49203.68,0.0,3452.8898245614037,4100.306666666666,,
206885508,XX,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885508,XX,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885508,XX,2023,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885508,XX,2023,4,0.0,0.0,0.0,0.0,0.0,,,14.25,-1.0
206885508,XX,2024,1,0.0,0.0,0.0,0.0,0.0,,,0.0,
