brand_name,generic_name,total_manufacturers,manufacturer,total_spending,total_dosage_units,total_claims,total_beneficiaries,avg_spend_per_unit,avg_spend_per_claim,avg_spend_per_bene,outlier_flag,year
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Bluepoint Labor,,,,,,,,,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Auromedics-Eugi,1140572.32,864828.996,6113.0,2521.0,1.3587222294,186.58143628,452.42852836,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Athenex Pharmac,344104.62,403670.591,2027.0,911.0,4.5141336961,169.76054267,377.72186608,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Armas Pharmaceu,,,,,,,,,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App/Fresenius K,781214.62,226626.719,3109.0,1091.0,3.5860125878,251.27520746,716.05373052,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App-Premierpro,46130.86,8068.617,405.0,182.0,21.592886992,113.90335802,253.46626374,1,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apotex Corp,3227709.55,2903438.481,16173.0,6020.0,1.1430505579,199.5739535,536.16437708,0,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apollo/Provepha,748160.11,973112.711,5746.0,2292.0,1.3688836131,130.20537939,326.42238656,0,2021
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",2,Overall,788578.1,2004336.0,3092.0,1169.0,0.4062113394,255.03819534,674.57493584,0,2021
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",1,Pfizer/Baxter,788578.1,2004336.0,3092.0,1169.0,0.4062113394,255.03819534,674.57493584,0,2021
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",1,Baxter Healthca,,,,,,,,,2021
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,22,Overall,12555486.71,7264077.706,62073.0,20253.0,3.2616935777,202.26969391,619.93219326,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Xellia Pharmace,87506.11,13757.3,593.0,307.0,6.5508187725,147.56510961,285.03618893,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Wockhardt USA L,2524929.11,769076.263,10508.0,4222.0,4.6178188877,240.28636372,598.04100189,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,WG Critical Car,181926.89,241006.874,1544.0,687.0,2.2403567284,117.82829663,264.81352256,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sandoz,244874.33,62431.286,1245.0,581.0,6.8695553233,196.68620884,421.4704475,0,2022
