ndc11,state,year,quarter,drug_name,units_reimbursed,num_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,utilization_type,labeler_code,product_code,package_size,suppression_used,quarter_begin_date
00206886002,IA,2022,1,ZOSYN 2.25,,,,,,MCOU,00206,8860,02,true,2022-01-01
00206886101,IA,2022,1,ZOSYN 3.37,,,,,,FFSU,00206,8861,01,true,2022-01-01
00206886101,IA,2022,1,ZOSYN 3.37,131.665,70.0,8277.61,123.33,8154.28,MCOU,00206,8861,01,false,2022-01-01
00206886102,IA,2022,1,ZOSYN 3.37,65.331,36.0,29843.58,0.0,29843.58,MCOU,00206,8861,02,false,2022-01-01
00206886201,IA,2022,1,ZOSYN 4.5G,26.0,17.0,7015.02,0.0,7015.02,MCOU,00206,8862,01,false,2022-01-01
00206886202,IA,2022,1,ZOSYN 4.5G,62.25,44.0,11972.24,0.0,11972.24,MCOU,00206,8862,02,false,2022-01-01
00206885216,ID,2022,4,ZOSYN     ,,,,,,FFSU,00206,8852,16,true,2022-10-01
00206886101,ID,2022,4,ZOSYN     ,,,,,,FFSU,00206,8861,01,true,2022-10-01
00206886102,ID,2022,4,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-10-01
00206886102,ID,2022,3,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-07-01
00206886102,ID,2022,2,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-04-01
00206886201,ID,2022,2,ZOSYN     ,,,,,,FFSU,00206,8862,01,true,2022-04-01
00206886202,ID,2022,2,ZOSYN     ,,,,,,FFSU,00206,8862,02,true,2022-04-01
00206885910,ID,2022,1,ZOSYN     ,,,,,,FFSU,00206,8859,10,true,2022-01-01
00206886102,ID,2022,1,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-01-01
00206886102,IL,2022,2,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-04-01
00206886102,IL,2022,1,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-01-01
00206886202,IL,2022,1,ZOSYN 4.5G,,,,,,MCOU,00206,8862,02,true,2022-01-01
00206886102,IN,2022,2,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-04-01
00206886101,IN,2022,1,ZOSYN 3.37,,,,,,MCOU,00206,8861,01,true,2022-01-01
00206886102,KS,2022,4,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-10-01
00206886201,KS,2022,4,ZOSYN 4.5G,12.0,17.0,51.45,51.45,0.0,MCOU,00206,8862,01,false,2022-10-01
00206886202,KS,2022,4,ZOSYN 4.5G,,,,,,MCOU,00206,8862,02,true,2022-10-01
00206886101,KS,2022,3,ZOSYN 3.37,,,,,,MCOU,00206,8861,01,true,2022-07-01
00206886102,KS,2022,3,ZOSYN 3.37,,,,,,MCOU,00206,8861,02,true,2022-07-01
00206886201,KS,2022,3,ZOSYN 4.5G,14.0,12.0,50.36,29.88,20.48,MCOU,00206,8862,01,false,2022-07-01
00206886201,KS,2022,2,ZOSYN 4.5G,11.0,21.0,52.23,52.23,0.0,MCOU,00206,8862,01,false,2022-04-01
00206886101,KS,2022,1,ZOSYN 3.37,,,,,,MCOU,00206,8861,01,true,2022-01-01
00206886201,KS,2022,1,ZOSYN 4.5G,,,,,,FFSU,00206,8862,01,true,2022-01-01
00206886201,KS,2022,1,ZOSYN 4.5G,,,,,,MCOU,00206,8862,01,true,2022-01-01
00206886202,KS,2022,1,ZOSYN 4.5G,3.5,13.0,4.98,4.98,0.0,MCOU,00206,8862,02,false,2022-01-01
00206885416,KY,2022,4,ZOSYN     ,,,,,,MCOU,00206,8854,16,true,2022-10-01
00206886101,KY,2022,4,ZOSYN     ,,,,,,MCOU,00206,8861,01,true,2022-10-01
00206886102,KY,2022,4,ZOSYN     ,24.666,27.0,406.03,406.03,0.0,MCOU,00206,8861,02,false,2022-10-01
